source,target,weight
3487,1075,6.6503016252843326
1075,3569,10.328200753785303
1075,3487,6.6503016252843326
3605,3569,11.187465132652788
3569,1075,10.328200753785303
3605,3569,11.187465132652788
3570,1075,7.019862721442066
3570,1075,7.019862721442066
3414,4567,4.866018367446672
3414,4567,4.866018367446672
3347,3399,11.875783066303017
3399,3431,10.141372586148762
3399,3431,10.141372586148762
3347,3399,11.875783066303017
3000,3585,11.951265066189684
3000,3347,10.286742210027423
3000,3347,10.286742210027423
3585,3000,11.951265066189684
3419,3557,10.378364078517684
3548,3558,10.228788534609876
3419,3557,10.378364078517684
3548,3558,10.228788534609876
3405,3548,10.096463841522167
3548,3405,10.096463841522167
3325,3551,11.32138185446292
3325,3551,11.32138185446292
3604,1072,11.692474463775392
3511,3586,11.153161810015996
3511,3586,11.153161810015996
1072,3604,11.692474463775392
3601,3564,11.222607246020257
3511,3459,8.524259706143374
3561,3537,8.991198601388279
3537,3561,8.991198601388279
3369,3510,11.196242379823229
3511,3459,8.524259706143374
3564,3601,11.222607246020257
3369,3510,11.196242379823229
3579,3611,10.533547526797587
3377,3611,10.857159217442492
3377,3579,12.229473343681097
3611,3579,10.533547526797587
3376,3579,10.228802828007316
3579,3376,10.228802828007316
3377,3579,12.229473343681097
3543,3555,11.430453120787202
3543,3555,11.430453120787202
3440,3311,11.198768660838027
3311,3440,11.198768660838027
3377,3611,10.857159217442492
4487,4438,9.324383914141745
4487,4533,9.828698248316972
4438,4533,11.11674264270384
4462,4438,10.486176912656909
4462,4533,10.53606169511104
4462,4438,10.486176912656909
4533,4438,11.11674264270384
3606,3334,10.371424111104355
4462,4533,10.53606169511104
3566,3334,10.716437470617462
3566,3606,12.072831547475175
3334,3606,10.371424111104355
4487,4533,9.828698248316972
4487,4438,9.324383914141745
3566,3606,12.072831547475175
3566,3334,10.716437470617462
4430,4560,10.838549408464088
4430,4560,10.838549408464088
4569,4430,9.44542553254172
3607,3568,10.943803811347582
3607,3568,10.943803811347582
3497,4316,10.310936672165118
4430,4569,9.44542553254172
3495,4554,10.230982008104991
3497,4316,10.310936672165118
3497,4597,9.145103480034065
3495,4554,10.230982008104991
3559,3536,10.579712960287058
4597,3497,9.145103480034065
4597,4526,9.926901758563318
4527,4566,11.752496331604464
4527,4566,11.752496331604464
4597,4526,9.926901758563318
3495,3417,8.733976417693468
3269,4510,9.731045671058425
4491,3495,7.1576830054831335
3559,3536,10.579712960287058
4510,3269,9.731045671058425
4436,3274,10.77747718740908
4436,4545,10.867214391484232
4436,3274,10.77747718740908
4545,3274,11.671143833221269
4545,4436,10.867214391484232
3274,3273,9.783920682263377
3274,3273,9.783920682263377
3274,4545,11.671143833221269
4491,3417,7.049585428460237
4491,3495,7.1576830054831335
3417,3495,8.733976417693468
3273,4491,7.891778772839482
4458,4523,7.493398890840691
4458,4523,7.493398890840691
4491,3417,7.049585428460237
4469,4610,6.298265579101958
4610,4469,6.298265579101958
4491,3273,7.891778772839482
4610,4507,9.770039409474467
4610,4440,9.642658370816113
4610,4507,9.770039409474467
4440,4507,11.551883151922974
4610,4440,9.642658370816113
4507,4522,11.611776998205045
4440,4522,10.64724900704144
4440,4507,11.551883151922974
4522,4507,11.611776998205045
3407,3401,14.182155059836994
3538,3401,9.472927340755612
3538,3407,9.50836903722248
3401,3407,14.182155059836994
4522,4440,10.64724900704144
3538,3401,9.472927340755612
3538,3407,9.50836903722248
3563,3594,8.367738773143593
3563,3550,9.77596189144567
3563,3594,8.367738773143593
3550,3594,8.278910071389168
3592,3560,10.251795641939248
3621,3594,8.230313363430431
3621,3550,11.128068388018102
3594,3550,8.278910071389168
3621,3594,8.230313363430431
3598,3563,10.657703387797453
3560,3592,10.251795641939248
3598,3550,9.859979999592277
3598,3563,10.657703387797453
3550,3563,9.77596189144567
3550,3598,9.859979999592277
3577,3538,8.990152520026818
3587,3595,10.906657734009292
3621,3550,11.128068388018102
